team,match_id,from_stage,to_stage,into_knockout,rest_days,confederation,interval_label
Curaçao,28,Group stage,Group stage,False,6,CONCACAF,Before a group match
Curaçao,29,Group stage,Group stage,False,5,CONCACAF,Before a group match
Czech Republic,3,Group stage,Group stage,False,7,UEFA,Before a group match
Czech Republic,5,Group stage,Group stage,False,6,UEFA,Before a group match
DR Congo,64,Group stage,Group stage,False,6,CAF,Before a group match
DR Congo,66,Group stage,Group stage,False,4,CAF,Before a group match
DR Congo,80,Group stage,Round of 32,True,4,CAF,Before a knockout match
Ecuador,28,Group stage,Group stage,False,6,CONMEBOL,Before a group match
Ecuador,30,Group stage,Group stage,False,5,CONMEBOL,Before a group match
Ecuador,79,Group stage,Round of 32,True,5,CONMEBOL,Before a knockout match
Egypt,40,Group stage,Group stage,False,6,CAF,Before a group match
Egypt,41,Group stage,Group stage,False,5,CAF,Before a group match
Egypt,88,Group stage,Round of 32,True,7,CAF,Before a knockout match
Egypt,95,Round of 32,Round of 16,True,4,CAF,Before a knockout match
England,69,Group stage,Group stage,False,6,UEFA,Before a group match
England,71,Group stage,Group stage,False,4,UEFA,Before a group match
England,80,Group stage,Round of 32,True,4,UEFA,Before a knockout match
England,92,Round of 32,Round of 16,True,4,UEFA,Before a knockout match
England,99,Round of 16,Quarter-final,True,6,UEFA,Before a knockout match
England,102,Quarter-final,Semi-final,True,4,UEFA,Before a knockout match
England,103,Semi-final,Match for third place,True,3,UEFA,Before a knockout match
France,51,Group stage,Group stage,False,6,UEFA,Before a group match
France,53,Group stage,Group stage,False,4,UEFA,Before a group match
France,77,Group stage,Round of 32,True,4,UEFA,Before a knockout match
France,89,Round of 32,Round of 16,True,4,UEFA,Before a knockout match
France,97,Round of 16,Quarter-final,True,5,UEFA,Before a knockout match
France,101,Quarter-final,Semi-final,True,5,UEFA,Before a knockout match
France,103,Semi-final,Match for third place,True,4,UEFA,Before a knockout match
Germany,27,Group stage,Group stage,False,6,UEFA,Before a group match
Germany,30,Group stage,Group stage,False,5,UEFA,Before a group match
Germany,74,Group stage,Round of 32,True,4,UEFA,Before a knockout match
Ghana,69,Group stage,Group stage,False,6,CAF,Before a group match
Ghana,72,Group stage,Group stage,False,4,CAF,Before a group match
Ghana,87,Group stage,Round of 32,True,6,CAF,Before a knockout match
Haiti,16,Group stage,Group stage,False,6,CONCACAF,Before a group match
